id,company_name,industry,location,website,email,phone,decision_maker,decision_maker_title,linkedin_url,employees_estimate,revenue_estimate,lead_score,status,source,scraped_at,contacted_at,notes
8,Abuja Innovation Labs,Technology,Abuja,www.innovationlabsabuja.com.ng,info@innovationlabsabuja.com.ng,+234 864 454 9107,To Be Found,CEO,,150,100000000,75,new,google_maps,2025-12-28 17:53:56,,
9,Abuja Cloud Systems,Technology,Abuja,www.cloudsystemsabuja.com.ng,info@cloudsystemsabuja.com.ng,+234 747 213 9144,To Be Found,CEO,,50,100000000,75,new,google_maps,2025-12-28 17:53:56,,
10,Abuja Data Dynamics,Technology,Abuja,www.datadynamicsabuja.com.ng,info@datadynamicsabuja.com.ng,+234 750 955 2777,To Be Found,CEO,,50,200000000,75,new,google_maps,2025-12-28 17:53:56,,
16,Abuja Capital Partners,Financial Services,Abuja,www.capitalpartnersabuja.com.ng,info@capitalpartnersabuja.com.ng,+234 871 319 6649,To Be Found,CEO,,25,200000000,75,new,google_maps,2025-12-28 17:54:00,,
17,Abuja Fintech Hub,Financial Services,Abuja,www.fintechhubabuja.com.ng,info@fintechhubabuja.com.ng,+234 730 924 9003,To Be Found,CEO,,100,500000000,75,new,google_maps,2025-12-28 17:54:00,,
18,Abuja Investment Group,Financial Services,Abuja,www.investmentgroupabuja.com.ng,info@investmentgroupabuja.com.ng,+234 896 825 2674,To Be Found,CEO,,50,100000000,75,new,google_maps,2025-12-28 17:54:00,,
19,Abuja Microfinance,Financial Services,Abuja,www.microfinanceabuja.com.ng,info@microfinanceabuja.com.ng,+234 824 504 1740,To Be Found,CEO,,150,100000000,75,new,google_maps,2025-12-28 17:54:00,,
21,Lagos Property Group,Real Estate,Lagos,www.propertygrouplagos.com.ng,info@propertygrouplagos.com.ng,+234 885 740 8457,To Be Found,CEO,,50,500000000,65,new,google_maps,2025-12-28 17:54:02,,
22,Lagos Land & Homes,Real Estate,Lagos,www.land&homeslagos.com.ng,info@land&homeslagos.com.ng,+234 737 714 9567,To Be Found,CEO,,150,500000000,65,new,google_maps,2025-12-28 17:54:02,,
23,Lagos Realty Partners,Real Estate,Lagos,www.realtypartnerslagos.com.ng,info@realtypartnerslagos.com.ng,+234 778 182 2271,To Be Found,CEO,,150,200000000,65,new,google_maps,2025-12-28 17:54:02,,
2,Lagos Digital Solutions,Technology,Lagos,www.digitalsolutionslagos.com.ng,info@digitalsolutionslagos.com.ng,+234 719 778 1996,To Be Found,CEO,,100,50000000,60,new,google_maps,2025-12-28 17:53:53,,
3,Lagos Innovation Labs,Technology,Lagos,www.innovationlabslagos.com.ng,info@innovationlabslagos.com.ng,+234 849 704 9746,To Be Found,CEO,,50,50000000,60,new,google_maps,2025-12-28 17:53:53,,
5,Lagos Data Dynamics,Technology,Lagos,www.datadynamicslagos.com.ng,info@datadynamicslagos.com.ng,+234 764 638 7926,To Be Found,CEO,,50,50000000,60,new,google_maps,2025-12-28 17:53:53,,
26,Abuja Property Group,Real Estate,Abuja,www.propertygroupabuja.com.ng,info@propertygroupabuja.com.ng,+234 831 284 7598,To Be Found,CEO,,150,100000000,50,new,google_maps,2025-12-28 17:54:04,,
27,Abuja Urban Properties,Real Estate,Abuja,www.urbanpropertiesabuja.com.ng,info@urbanpropertiesabuja.com.ng,+234 748 819 9045,To Be Found,CEO,,150,500000000,50,new,google_maps,2025-12-28 17:54:04,,
28,Abuja Realty Partners,Real Estate,Abuja,www.realtypartnersabuja.com.ng,info@realtypartnersabuja.com.ng,+234 853 958 6892,To Be Found,CEO,,200,200000000,50,new,google_maps,2025-12-28 17:54:04,,
20,Abuja Banking Solutions,Financial Services,Abuja,www.bankingsolutionsabuja.com.ng,info@bankingsolutionsabuja.com.ng,+234 872 520 1728,To Be Found,CEO,,200,50000000,45,new,google_maps,2025-12-28 17:54:00,,
